x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-07-01T15:09:01.000Z	16.364	1998-07-01T15:11:09.000Z	16.364
1998-07-14T02:55:09.000Z	147.27	1998-07-14T02:57:17.000Z	144.94
1998-07-14T04:38:37.000Z	168.31	1998-07-14T04:42:53.000Z	168.31
1998-07-18T15:33:32.000Z	25.714	1998-07-18T16:04:28.000Z	25.714
1998-07-24T21:29:47.000Z	156.62	1998-07-24T21:31:55.000Z	154.29
1998-07-24T21:46:51.000Z	158.96	1998-07-24T22:00:43.000Z	156.62
1998-07-24T22:11:23.000Z	154.29	1998-07-24T22:46:35.000Z	158.96
1998-07-24T22:50:51.000Z	158.96	1998-07-24T22:55:07.000Z	158.96
1998-07-24T23:02:35.000Z	156.62	1998-07-24T23:04:43.000Z	156.62
1998-07-25T22:52:59.000Z	163.64	1998-07-25T22:55:07.000Z	163.64
1998-07-26T02:00:43.000Z	163.64	1998-07-26T02:19:55.000Z	161.3
1998-07-26T05:19:07.000Z	165.97	1998-07-26T05:27:39.000Z	165.97
