x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
2006-11-25T20:27:18.000Z	151.95	2006-11-25T20:50:46.000Z	151.95
2006-11-26T04:58:14.000Z	161.3	2006-11-26T05:07:50.000Z	158.96
2006-11-26T06:02:14.000Z	154.29	2006-11-26T06:31:02.000Z	147.27
2006-11-26T07:17:58.000Z	128.57	2006-11-26T07:24:22.000Z	130.91
2006-11-26T10:37:26.000Z	151.95	2006-11-26T11:11:34.000Z	154.29
2006-11-26T11:38:14.000Z	147.27	2006-11-26T11:45:42.000Z	147.27
2006-11-26T12:04:54.000Z	163.64	2006-11-26T12:43:18.000Z	158.96
2006-11-26T13:23:50.000Z	158.96	2006-11-26T13:46:14.000Z	158.96
2006-11-26T13:50:30.000Z	163.64	2006-11-26T15:04:06.000Z	154.29
2006-11-26T16:40:06.000Z	149.61	2006-11-26T16:41:10.000Z	149.61
2006-11-26T16:44:22.000Z	151.95	2006-11-26T17:00:22.000Z	156.62
2006-11-26T17:28:06.000Z	149.61	2006-11-26T17:36:38.000Z	149.61
2006-11-26T17:40:54.000Z	158.96	2006-11-26T17:49:26.000Z	158.96
2006-11-26T17:59:02.000Z	156.62	2006-11-26T18:02:14.000Z	156.62
2006-11-26T18:17:10.000Z	163.64	2006-11-26T18:24:38.000Z	163.64
2006-11-26T19:35:02.000Z	165.97	2006-11-26T19:51:02.000Z	161.3
2006-11-26T20:21:58.000Z	163.64	2006-11-26T20:56:06.000Z	161.3
2006-11-26T21:04:38.000Z	158.96	2006-11-26T21:27:02.000Z	158.96
2006-11-26T21:33:26.000Z	158.96	2006-11-26T22:43:50.000Z	158.96
2006-11-26T22:45:58.000Z	149.61	2006-11-26T22:53:26.000Z	149.61
2006-11-27T00:58:14.000Z	163.64	2006-11-27T01:50:30.000Z	158.96
2006-11-27T03:23:18.000Z	149.61	2006-11-27T03:25:26.000Z	149.61
2006-11-27T03:42:30.000Z	151.95	2006-11-27T03:49:58.000Z	151.95
2006-11-27T04:28:22.000Z	147.27	2006-11-27T05:18:30.000Z	147.27
2006-11-27T05:37:42.000Z	154.29	2006-11-27T06:28:54.000Z	151.95
