x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
2006-11-01T01:53:46.000Z	149.61	2006-11-01T01:55:54.000Z	149.61
2006-11-01T02:04:26.000Z	147.27	2006-11-01T02:07:38.000Z	147.27
2006-11-01T03:13:46.000Z	151.95	2006-11-01T03:14:50.000Z	151.95
2006-11-01T03:39:22.000Z	149.61	2006-11-01T03:46:50.000Z	149.61
2006-11-01T06:28:58.000Z	156.62	2006-11-01T06:37:30.000Z	154.29
2006-11-01T06:54:34.000Z	161.3	2006-11-01T06:59:54.000Z	158.96
2006-11-06T05:34:33.000Z	23.377	2006-11-06T05:48:25.000Z	23.377
2006-11-06T05:56:57.000Z	25.714	2006-11-06T06:03:21.000Z	23.377
2006-11-07T00:17:45.000Z	28.052	2006-11-07T00:50:49.000Z	32.727
2006-11-09T05:13:13.000Z	154.29	2006-11-09T05:20:41.000Z	151.95
2006-11-09T06:25:45.000Z	142.6	2006-11-09T06:28:57.000Z	140.26
2006-11-11T21:47:20.000Z	156.62	2006-11-11T21:53:44.000Z	158.96
2006-11-12T11:56:24.000Z	161.30	2006-11-12T11:58:32.000Z	161.30
2006-11-12T13:33:28.000Z	154.29	2006-11-12T13:48:24.000Z	161.30
2006-11-12T14:05:28.000Z	149.61	2006-11-12T14:28:56.000Z	149.61
2006-11-12T14:35:20.000Z	154.29	2006-11-12T14:40:40.000Z	154.29
2006-11-12T14:44:56.000Z	154.29	2006-11-12T14:51:20.000Z	156.62
2006-11-12T14:56:40.000Z	149.61	2006-11-12T15:02:00.000Z	154.29
2006-11-12T15:06:16.000Z	154.29	2006-11-12T15:10:32.000Z	154.29
2006-11-12T16:35:52.000Z	147.27	2006-11-12T16:36:56.000Z	147.27
2006-11-13T01:45:12.000Z	161.3	2006-11-13T02:10:48.000Z	158.96
2006-11-13T02:15:04.000Z	168.31	2006-11-13T02:17:12.000Z	165.97
2006-11-13T02:20:24.000Z	158.96	2006-11-13T02:21:28.000Z	158.96
2006-11-13T02:23:36.000Z	154.29	2006-11-13T03:14:48.000Z	154.29
2006-11-13T03:27:36.000Z	154.29	2006-11-13T03:29:44.000Z	154.29
2006-11-13T05:26:00.000Z	149.61	2006-11-13T05:39:52.000Z	147.27
2006-11-13T05:47:20.000Z	154.29	2006-11-13T05:49:28.000Z	156.62
2006-11-13T06:54:32.000Z	154.29	2006-11-13T07:00:56.000Z	154.29
2006-11-13T07:04:08.000Z	147.27	2006-11-13T07:27:36.000Z	151.95
2006-11-13T07:45:44.000Z	156.62	2006-11-13T07:52:08.000Z	154.29
2006-11-13T08:09:12.000Z	154.29	2006-11-13T08:15:36.000Z	154.29
2006-11-13T08:17:44.000Z	154.29	2006-11-13T08:24:08.000Z	154.29
2006-11-13T08:35:52.000Z	161.3	2006-11-13T08:38:00.000Z	161.3
2006-11-13T08:45:28.000Z	151.95	2006-11-13T08:51:52.000Z	151.95
2006-11-13T09:34:32.000Z	154.29	2006-11-13T09:37:44.000Z	151.95
2006-11-13T10:32:08.000Z	147.27	2006-11-13T11:04:08.000Z	149.61
2006-11-13T11:20:08.000Z	147.27	2006-11-13T11:22:16.000Z	147.27
2006-11-13T13:00:24.000Z	151.95	2006-11-13T13:47:20.000Z	149.61
2006-11-13T20:02:48.000Z	151.95	2006-11-13T20:11:20.000Z	151.95
2006-11-13T20:13:28.000Z	154.29	2006-11-13T20:16:40.000Z	154.29
2006-11-14T09:00:24.000Z	158.96	2006-11-14T09:07:52.000Z	158.96
2006-11-15T00:06:00.000Z	32.727	2006-11-15T00:13:28.000Z	32.727
2006-11-15T00:20:56.000Z	30.39	2006-11-15T00:26:16.000Z	30.39
2006-11-15T01:06:48.000Z	30.39	2006-11-15T01:20:40.000Z	30.39
2006-11-24T23:11:34.000Z	158.96	2006-11-25T00:02:46.000Z	161.3
2006-11-25T05:44:06.000Z	154.29	2006-11-25T06:40:38.000Z	154.29
2006-11-25T17:43:02.000Z	156.62	2006-11-25T17:47:18.000Z	156.62
2006-11-25T18:20:22.000Z	156.62	2006-11-25T18:23:34.000Z	156.62
