x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-08-29T01:14:47.000Z	161.3	1998-08-29T01:19:03.000Z	161.3
1998-08-30T05:29:43.000Z	154.29	1998-08-30T05:31:51.000Z	151.95
1998-08-30T14:51:51.000Z	144.94	1998-08-30T14:56:07.000Z	144.94
1998-08-30T20:39:35.000Z	147.27	1998-08-30T20:49:11.000Z	144.94
1998-08-30T20:53:27.000Z	151.95	1998-08-30T20:59:51.000Z	151.95
1998-08-30T22:18:47.000Z	165.97	1998-08-30T23:12:07.000Z	149.61
1998-08-30T23:47:19.000Z	156.62	1998-08-30T23:55:51.000Z	158.96
1998-08-31T00:02:15.000Z	154.29	1998-08-31T00:38:31.000Z	156.62
