x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-09-04T12:23:34.000Z	35.065	1998-09-04T12:27:50.000Z	35.065
1998-09-13T20:31:01.000Z	144.94	1998-09-13T20:25:41.000Z	144.94
1998-09-13T20:45:57.000Z	137.92	1998-09-13T20:48:05.000Z	137.92
1998-09-13T20:54:29.000Z	147.27	1998-09-13T21:12:37.000Z	147.27
1998-09-13T22:16:37.000Z	144.94	1998-09-13T22:25:09.000Z	140.26
1998-09-13T22:47:33.000Z	147.27	1998-09-13T22:53:57.000Z	147.27
1998-09-13T23:27:01.000Z	128.57	1998-09-13T23:37:41.000Z	126.23
1998-09-13T23:41:57.000Z	128.57	1998-09-14T00:12:53.000Z	126.23
1998-09-14T02:51:49.000Z	142.6	1998-09-14T02:56:05.000Z	137.92
1998-09-14T09:59:33.000Z	142.6	1998-09-14T10:01:41.000Z	142.6
1998-09-14T11:56:53.000Z	133.25	1998-09-14T12:05:25.000Z	137.92
1998-09-14T19:17:25.000Z	168.31	1998-09-14T19:21:41.000Z	170.65
1998-09-14T19:32:21.000Z	158.96	1998-09-14T19:54:45.000Z	163.64
1998-09-14T20:15:01.000Z	156.62	1998-09-14T20:19:17.000Z	156.62
1998-09-15T20:40:37.000Z	142.6	1998-09-15T20:42:45.000Z	142.6
1998-09-15T20:47:01.000Z	149.61	1998-09-15T20:51:17.000Z	151.95
1998-09-15T21:07:17.000Z	158.96	1998-09-15T21:31:49.000Z	158.96
1998-09-15T21:36:05.000Z	158.96	1998-09-15T21:57:25.000Z	154.29
1998-09-15T22:09:09.000Z	158.96	1998-09-15T22:13:25.000Z	161.3
1998-09-16T00:17:09.000Z	140.26	1998-09-16T00:23:33.000Z	137.92
1998-09-16T00:32:05.000Z	142.6	1998-09-16T01:03:01.000Z	140.26
1998-09-17T19:20:37.000Z	32.727	1998-09-17T19:27:01.000Z	32.727
1998-09-17T19:39:49.000Z	28.052	1998-09-17T19:41:57.000Z	28.052
1998-09-27T11:09:55.000Z	151.95	1998-09-27T11:16:19.000Z	154.29
1998-09-27T11:34:27.000Z	142.6	1998-09-27T11:36:35.000Z	142.6
1998-09-27T12:53:23.000Z	149.61	1998-09-27T13:00:51.000Z	149.61
1998-09-27T14:01:39.000Z	156.62	1998-09-27T14:03:47.000Z	156.62
1998-09-27T14:34:43.000Z	147.27	1998-09-27T14:36:51.000Z	147.27
1998-09-27T14:46:27.000Z	149.61	1998-09-27T14:57:07.000Z	151.95
1998-09-27T15:01:23.000Z	149.61	1998-09-27T15:03:31.000Z	149.61
1998-09-27T15:17:23.000Z	151.95	1998-09-27T15:21:39.000Z	151.95
1998-09-27T15:25:55.000Z	151.95	1998-09-27T15:30:11.000Z	151.95
1998-09-27T15:34:27.000Z	154.29	1998-09-27T15:40:51.000Z	154.29
1998-09-27T16:44:51.000Z	154.29	1998-09-27T17:15:47.000Z	156.62
1998-09-27T17:20:03.000Z	149.61	1998-09-27T17:22:11.000Z	149.61
1998-09-27T17:27:31.000Z	149.61	1998-09-27T17:48:51.000Z	144.94
1998-09-27T17:53:07.000Z	156.62	1998-09-27T17:55:15.000Z	156.62
1998-09-27T20:43:47.000Z	149.61	1998-09-27T20:52:19.000Z	149.61
1998-09-28T20:18:11.000Z	144.94	1998-09-28T20:26:43.000Z	149.61
1998-09-29T15:48:19.000Z	161.3	1998-09-29T16:08:35.000Z	151.95
1998-09-29T16:21:23.000Z	158.96	1998-09-29T16:23:31.000Z	158.96
