x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
2006-12-24T00:18:42.000Z	156.62	2006-12-24T00:20:50.000Z	156.62
2006-12-24T03:36:02.000Z	161.3	2006-12-24T03:52:02.000Z	158.96
2006-12-24T04:52:50.000Z	149.61	2006-12-24T04:57:06.000Z	151.95
2006-12-24T14:40:34.000Z	147.27	2006-12-24T15:02:58.000Z	144.94
2006-12-24T15:32:50.000Z	151.95	2006-12-24T15:41:22.000Z	151.95
2006-12-24T16:27:14.000Z	154.29	2006-12-24T16:57:06.000Z	144.94
2006-12-24T17:08:50.000Z	147.27	2006-12-24T17:16:18.000Z	147.27
2006-12-24T18:20:18.000Z	144.94	2006-12-24T18:24:34.000Z	144.94
2006-12-25T00:18:42.000Z	151.95	2006-12-25T00:28:18.000Z	149.61
2006-12-25T00:32:34.000Z	147.27	2006-12-25T00:34:42.000Z	151.95
2006-12-26T02:58:41.000Z	154.29	2006-12-26T03:00:49.000Z	151.95
2006-12-26T03:20:01.000Z	156.62	2006-12-26T04:00:33.000Z	156.62
2006-12-26T04:08:01.000Z	154.29	2006-12-26T04:11:13.000Z	156.62
2006-12-26T04:14:25.000Z	161.3	2006-12-26T04:21:53.000Z	158.96
2006-12-26T08:26:09.000Z	156.62	2006-12-26T08:32:33.000Z	156.62
2006-12-26T09:01:21.000Z	149.61	2006-12-26T09:05:37.000Z	149.61
2006-12-26T09:12:01.000Z	151.95	2006-12-26T09:16:17.000Z	151.95
2006-12-26T09:48:17.000Z	140.26	2006-12-26T09:50:25.000Z	137.92
2006-12-26T10:14:57.000Z	158.96	2006-12-26T11:00:49.000Z	156.62
2006-12-26T11:50:57.000Z	142.6	2006-12-26T12:28:17.000Z	154.29
2006-12-26T13:46:09.000Z	161.3	2006-12-26T14:28:49.000Z	163.64
2006-12-26T17:00:17.000Z	154.29	2006-12-26T17:08:49.000Z	158.96
2006-12-27T00:06:57.000Z	156.62	2006-12-27T00:14:25.000Z	151.95
2006-12-27T00:16:33.000Z	158.96	2006-12-27T00:17:37.000Z	158.96
2006-12-27T00:20:49.000Z	151.95	2006-12-27T00:28:17.000Z	156.62
2006-12-27T01:39:45.000Z	147.27	2006-12-27T01:47:13.000Z	140.26
2006-12-27T02:04:17.000Z	161.3	2006-12-27T02:35:13.000Z	158.96
2006-12-27T03:12:33.000Z	154.29	2006-12-27T03:15:45.000Z	154.29
2006-12-27T03:20:01.000Z	154.29	2006-12-27T03:24:17.000Z	151.95
2006-12-27T03:29:37.000Z	154.29	2006-12-27T03:53:05.000Z	149.61
2006-12-27T03:55:13.000Z	158.96	2006-12-27T03:56:17.000Z	156.62
2006-12-27T03:58:25.000Z	156.62	2006-12-27T03:59:29.000Z	154.29
2006-12-27T04:03:45.000Z	161.3	2006-12-27T04:10:09.000Z	156.62
2006-12-27T04:18:41.000Z	149.61	2006-12-27T05:04:33.000Z	151.95
2006-12-27T05:06:41.000Z	161.3	2006-12-27T05:18:25.000Z	151.95
2006-12-30T01:01:21.000Z	30.390	2006-12-30T01:22:41.000Z	30.390
2006-12-30T01:31:13.000Z	28.052	2006-12-30T01:32:17.000Z	28.052
2006-12-30T01:38:41.000Z	23.377	2006-12-30T01:45:05.000Z	30.390
