x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
2006-12-01T09:34:29.000Z	23.377	2006-12-01T09:37:41.000Z	23.377
2006-12-01T13:12:05.000Z	23.377	2006-12-01T13:14:13.000Z	23.377
2006-12-01T13:21:41.000Z	14.026	2006-12-01T13:22:45.000Z	14.026
2006-12-01T13:25:57.000Z	25.714	2006-12-01T13:27:01.000Z	25.714
2006-12-04T20:02:45.000Z	30.39	2006-12-04T20:31:33.000Z	30.39
2006-12-11T09:11:00.000Z	9.3506	2006-12-11T09:12:04.000Z	9.3506
2006-12-11T09:25:56.000Z	14.026	2006-12-11T09:27:00.000Z	11.688
2006-12-11T09:37:40.000Z	28.052	2006-12-11T09:40:52.000Z	28.052
2006-12-11T10:06:28.000Z	11.688	2006-12-11T10:07:32.000Z	11.688
2006-12-11T11:13:40.000Z	25.714	2006-12-11T11:24:20.000Z	28.052
2006-12-11T11:26:28.000Z	28.052	2006-12-11T11:30:44.000Z	28.052
2006-12-11T14:05:24.000Z	46.753	2006-12-11T14:15:00.000Z	46.753
2006-12-11T14:26:44.000Z	46.753	2006-12-11T14:44:52.000Z	44.416
2006-12-12T21:26:59.000Z	25.714	2006-12-12T21:28:03.000Z	21.039
2006-12-12T21:37:39.000Z	23.377	2006-12-12T21:47:15.000Z	28.052
2006-12-14T08:30:27.000Z	35.065	2006-12-14T08:36:51.000Z	30.39
2006-12-21T11:53:06.000Z	161.3	2006-12-21T11:55:14.000Z	161.3
2006-12-21T12:13:22.000Z	163.64	2006-12-21T12:19:46.000Z	163.64
2006-12-21T12:38:58.000Z	156.62	2006-12-21T12:43:14.000Z	156.62
2006-12-21T13:18:26.000Z	158.96	2006-12-21T13:23:46.000Z	156.62
2006-12-21T14:19:14.000Z	151.95	2006-12-21T14:37:22.000Z	149.61
2006-12-21T14:54:26.000Z	151.95	2006-12-21T15:10:26.000Z	149.61
2006-12-21T15:56:18.000Z	156.62	2006-12-21T16:06:58.000Z	154.29
2006-12-21T16:11:14.000Z	156.62	2006-12-21T16:28:18.000Z	156.62
2006-12-21T17:12:02.000Z	156.62	2006-12-21T17:30:10.000Z	163.64
2006-12-21T17:51:30.000Z	149.61	2006-12-21T18:13:54.000Z	154.29
2006-12-21T19:45:38.000Z	154.29	2006-12-21T19:47:46.000Z	154.29
2006-12-21T20:17:38.000Z	154.29	2006-12-21T20:29:22.000Z	154.29
2006-12-21T20:58:10.000Z	147.27	2006-12-21T21:01:22.000Z	147.27
2006-12-22T23:36:02.000Z	142.6	2006-12-23T00:12:18.000Z	140.26
2006-12-23T00:16:34.000Z	154.29	2006-12-23T00:58:10.000Z	144.94
2006-12-23T01:03:30.000Z	156.62	2006-12-23T01:52:34.000Z	147.27
2006-12-23T01:55:46.000Z	149.61	2006-12-23T02:17:06.000Z	147.27
2006-12-23T09:09:54.000Z	154.29	2006-12-23T09:10:58.000Z	154.29
2006-12-23T09:15:14.000Z	156.62	2006-12-23T09:20:34.000Z	158.96
2006-12-23T09:40:50.000Z	154.29	2006-12-23T09:45:06.000Z	154.29
2006-12-23T09:54:42.000Z	149.61	2006-12-23T10:03:14.000Z	149.61
2006-12-23T10:08:34.000Z	149.61	2006-12-23T10:09:38.000Z	149.61
2006-12-23T11:04:02.000Z	156.62	2006-12-23T11:07:14.000Z	156.62
2006-12-23T11:09:22.000Z	154.29	2006-12-23T11:13:38.000Z	154.29
2006-12-23T13:35:30.000Z	156.62	2006-12-23T13:41:54.000Z	154.29
2006-12-23T17:09:54.000Z	151.95	2006-12-23T17:10:58.000Z	151.95
2006-12-23T23:57:22.000Z	154.29	2006-12-24T00:09:06.000Z	149.61
2006-12-24T00:11:14.000Z	147.27	2006-12-24T00:15:30.000Z	147.27
