x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-06-01T00:38:25.000Z	142.6	1998-06-01T00:40:33.000Z	142.6
1998-06-01T00:44:49.000Z	144.94	1998-06-01T01:29:37.000Z	144.94
1998-06-01T02:06:57.000Z	154.29	1998-06-01T02:17:37.000Z	154.29
1998-06-01T02:24:01.000Z	161.3	1998-06-01T02:40:01.000Z	161.3
1998-06-01T03:04:33.000Z	156.62	1998-06-01T03:06:41.000Z	156.62
1998-06-01T08:33:05.000Z	151.95	1998-06-01T08:43:45.000Z	147.27
1998-06-01T08:48:01.000Z	147.27	1998-06-01T08:50:09.000Z	147.27
1998-06-01T11:44:01.000Z	165.97	1998-06-01T11:51:29.000Z	165.97
1998-06-02T20:26:41.000Z	149.61	1998-06-02T20:37:21.000Z	149.61
1998-06-02T20:57:37.000Z	142.6	1998-06-02T21:01:53.000Z	149.61
1998-06-03T00:22:25.000Z	149.61	1998-06-03T00:30:57.000Z	144.94
1998-06-05T08:59:44.000Z	11.688	1998-06-05T09:14:40.000Z	14.026
1998-06-05T09:32:48.000Z	23.377	1998-06-05T09:54:08.000Z	23.377
1998-06-05T19:55:44.000Z	11.688	1998-06-05T19:57:52.000Z	9.3506
1998-06-05T22:15:28.000Z	18.701	1998-06-05T22:21:52.000Z	21.039
1998-06-08T01:25:20.000Z	30.39	1998-06-08T01:30:40.000Z	25.714
1998-06-08T02:08:00.000Z	35.065	1998-06-08T02:12:16.000Z	30.390
1998-06-08T02:20:48.000Z	25.714	1998-06-08T02:53:52.000Z	28.052
1998-06-16T07:20:47.000Z	144.94	1998-06-16T07:31:27.000Z	144.94
1998-06-16T09:23:27.000Z	140.26	1998-06-16T09:26:39.000Z	140.26
1998-06-16T10:21:03.000Z	135.58	1998-06-16T10:23:11.000Z	135.58
1998-06-16T10:29:35.000Z	151.95	1998-06-16T10:34:55.000Z	151.95
1998-06-16T11:31:27.000Z	147.27	1998-06-16T11:41:03.000Z	147.27
1998-06-16T12:53:35.000Z	144.94	1998-06-16T13:02:07.000Z	144.94
1998-06-17T01:46:55.000Z	154.29	1998-06-17T01:51:11.000Z	151.95
1998-06-17T01:55:27.000Z	151.95	1998-06-17T01:58:39.000Z	151.95
1998-06-17T05:07:27.000Z	151.95	1998-06-17T05:09:35.000Z	151.95
1998-06-17T06:35:59.000Z	156.62	1998-06-17T08:08:47.000Z	147.27
1998-06-17T08:13:03.000Z	147.27	1998-06-17T08:17:19.000Z	147.27
1998-06-17T08:39:43.000Z	156.62	1998-06-17T08:58:55.000Z	158.96
1998-06-17T09:21:19.000Z	156.62	1998-06-17T09:27:43.000Z	156.62
1998-06-17T09:34:07.000Z	154.29	1998-06-17T09:38:23.000Z	154.29
1998-06-17T10:02:55.000Z	147.27	1998-06-17T10:05:03.000Z	147.27
1998-06-17T16:00:15.000Z	154.29	1998-06-17T16:20:31.000Z	151.95
1998-06-17T16:33:19.000Z	154.29	1998-06-17T16:37:35.000Z	154.29
1998-06-17T17:17:03.000Z	149.61	1998-06-17T17:19:11.000Z	149.61
1998-06-17T18:45:35.000Z	170.65	1998-06-17T19:51:43.000Z	168.31
1998-06-17T20:02:23.000Z	172.99	1998-06-17T21:08:31.000Z	170.65
1998-06-22T18:21:02.000Z	28.052	1998-06-22T19:49:34.000Z	23.377
1998-06-22T21:14:54.000Z	21.039	1998-06-22T21:23:26.000Z	11.688
1998-06-22T22:34:54.000Z	9.3506	1998-06-22T23:02:38.000Z	14.026
1998-06-23T01:26:38.000Z	18.701	1998-06-23T01:45:50.000Z	18.701
1998-06-23T03:58:06.000Z	14.026	1998-06-23T04:36:30.000Z	14.026
1998-06-23T05:06:22.000Z	14.026	1998-06-23T05:55:26.000Z	11.688
1998-06-23T06:32:46.000Z	14.026	1998-06-23T06:43:26.000Z	16.364
1998-06-30T03:01:33.000Z	154.29	1998-06-30T03:17:33.000Z	147.27
1998-06-30T19:49:33.000Z	151.95	1998-06-30T19:53:49.000Z	151.95
