x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-05-31T03:50:25.000Z	144.94	1998-05-31T04:30:57.000Z	140.26
1998-05-31T04:41:37.000Z	149.61	1998-05-31T04:43:45.000Z	149.61
1998-05-31T04:48:01.000Z	147.27	1998-05-31T04:56:33.000Z	147.27
1998-05-31T05:23:13.000Z	147.27	1998-05-31T05:43:29.000Z	147.27
1998-05-31T06:29:21.000Z	151.95	1998-05-31T06:35:45.000Z	154.29
1998-05-31T06:53:53.000Z	151.95	1998-05-31T07:04:33.000Z	151.95
1998-05-31T07:41:53.000Z	158.96	1998-05-31T07:45:05.000Z	156.62
1998-05-31T09:59:29.000Z	140.26	1998-05-31T10:16:33.000Z	140.26
1998-05-31T10:27:13.000Z	154.29	1998-05-31T10:34:41.000Z	154.29
1998-05-31T16:18:09.000Z	137.92	1998-05-31T16:20:17.000Z	137.92
1998-05-31T16:28:49.000Z	144.94	1998-05-31T16:34:09.000Z	144.94
1998-05-31T16:40:33.000Z	140.26	1998-05-31T16:42:41.000Z	140.26
1998-05-31T17:13:37.000Z	156.62	1998-05-31T17:24:17.000Z	156.62
1998-05-31T21:24:17.000Z	151.95	1998-05-31T21:33:53.000Z	154.29
