x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-05-08T02:16:36.000Z	21.039	1998-05-08T02:28:20.000Z	21.039
1998-05-08T21:14:44.000Z	30.39	1998-05-08T21:23:16.000Z	28.052
1998-05-08T22:44:20.000Z	25.714	1998-05-08T23:13:08.000Z	23.377
1998-05-08T23:17:24.000Z	14.026	1998-05-08T23:44:04.000Z	11.688
1998-05-08T23:50:28.000Z	28.052	1998-05-09T00:00:04.000Z	28.052
1998-05-09T00:56:36.000Z	23.377	1998-05-09T00:58:44.000Z	23.377
1998-05-09T01:08:20.000Z	30.39	1998-05-09T01:10:28.000Z	30.39
1998-05-09T06:25:08.000Z	28.052	1998-05-09T06:36:52.000Z	28.052
1998-05-09T07:09:56.000Z	23.377	1998-05-09T07:22:44.000Z	23.377
1998-05-09T13:48:52.000Z	18.701	1998-05-09T14:05:56.000Z	18.701
1998-05-10T12:15:00.000Z	16.364	1998-05-10T12:24:36.000Z	14.026
1998-05-10T19:34:27.000Z	28.052	1998-05-10T19:47:15.000Z	28.052
1998-05-10T19:51:31.000Z	28.052	1998-05-10T20:05:23.000Z	30.39
1998-05-10T20:36:19.000Z	32.727	1998-05-10T20:40:35.000Z	32.727
1998-05-10T22:48:35.000Z	35.065	1998-05-10T23:07:47.000Z	35.065
1998-05-10T23:28:03.000Z	30.39	1998-05-10T23:36:35.000Z	30.39
1998-05-10T23:40:51.000Z	25.714	1998-05-10T23:42:59.000Z	25.714
1998-05-10T23:54:43.000Z	28.052	1998-05-11T00:11:47.000Z	30.39
1998-05-11T00:18:11.000Z	28.052	1998-05-11T00:20:19.000Z	28.052
1998-05-11T03:46:11.000Z	25.714	1998-05-11T04:05:23.000Z	28.052
1998-05-11T15:02:27.000Z	18.701	1998-05-11T15:15:15.000Z	18.701
1998-05-11T16:06:27.000Z	16.364	1998-05-11T16:08:35.000Z	16.364
1998-05-11T16:30:59.000Z	18.701	1998-05-11T16:35:15.000Z	18.701
1998-05-12T09:07:15.000Z	18.701	1998-05-12T09:11:31.000Z	21.039
1998-05-12T14:04:51.000Z	18.701	1998-05-12T14:09:07.000Z	21.039
1998-05-12T14:15:31.000Z	23.377	1998-05-12T14:21:55.000Z	23.377
1998-05-12T16:50:11.000Z	23.377	1998-05-12T16:54:27.000Z	23.377
1998-05-12T18:44:19.000Z	23.377	1998-05-12T18:46:27.000Z	23.377
1998-05-12T18:53:55.000Z	28.052	1998-05-12T19:04:35.000Z	30.39
1998-05-12T21:25:23.000Z	23.377	1998-05-12T21:29:39.000Z	25.714
1998-05-12T21:41:23.000Z	35.065	1998-05-12T21:49:55.000Z	37.403
1998-05-12T22:29:23.000Z	35.065	1998-05-12T22:42:11.000Z	35.065
1998-05-13T01:16:51.000Z	23.377	1998-05-13T01:41:23.000Z	28.052
1998-05-13T02:00:35.000Z	28.052	1998-05-13T02:47:31.000Z	37.403
1998-05-13T03:09:55.000Z	32.727	1998-05-13T03:18:27.000Z	32.727
1998-05-13T03:22:43.000Z	30.39	1998-05-13T03:45:07.000Z	30.39
1998-05-13T04:06:27.000Z	28.052	1998-05-13T04:08:35.000Z	25.714
1998-05-13T05:55:15.000Z	23.377	1998-05-13T06:01:39.000Z	21.039
1998-05-13T07:14:11.000Z	28.052	1998-05-13T08:13:55.000Z	23.377
1998-05-13T08:42:43.000Z	23.377	1998-05-13T09:04:03.000Z	21.039
1998-05-14T06:16:35.000Z	32.727	1998-05-14T06:18:43.000Z	30.39
1998-05-14T06:27:15.000Z	32.727	1998-05-14T06:33:39.000Z	32.727
1998-05-14T06:47:31.000Z	28.052	1998-05-14T06:51:47.000Z	28.052
1998-05-14T06:58:11.000Z	30.39	1998-05-14T07:00:19.000Z	30.39
1998-05-14T07:06:43.000Z	28.052	1998-05-14T07:08:51.000Z	28.052
1998-05-14T07:13:07.000Z	28.052	1998-05-14T07:18:27.000Z	28.052
1998-05-14T22:21:55.000Z	16.364	1998-05-14T22:28:19.000Z	23.377
1998-05-18T23:25:54.000Z	163.64	1998-05-18T23:28:02.000Z	161.3
1998-05-21T09:42:26.000Z	16.364	1998-05-21T09:44:34.000Z	16.364
1998-05-21T11:21:38.000Z	18.701	1998-05-21T11:28:02.000Z	25.714
1998-05-21T11:50:26.000Z	18.701	1998-05-21T11:52:34.000Z	18.701
1998-05-23T02:48:34.000Z	16.364	1998-05-23T03:00:18.000Z	25.714
1998-05-23T14:49:38.000Z	14.026	1998-05-23T16:16:02.000Z	16.364
1998-05-24T09:46:42.000Z	25.714	1998-05-24T09:56:18.000Z	30.39
1998-05-24T10:06:58.000Z	23.377	1998-05-24T10:15:30.000Z	23.377
1998-05-24T10:19:46.000Z	16.364	1998-05-24T10:22:58.000Z	14.026
1998-05-24T15:48:18.000Z	23.377	1998-05-24T16:26:42.000Z	25.714
1998-05-24T17:12:34.000Z	16.364	1998-05-24T17:41:22.000Z	9.3506
1998-05-24T18:12:18.000Z	23.377	1998-05-24T18:22:58.000Z	23.377
1998-05-24T18:29:22.000Z	18.701	1998-05-24T18:33:38.000Z	18.701
1998-05-25T02:51:46.000Z	21.039	1998-05-25T02:59:14.000Z	28.052
1998-05-25T18:56:02.000Z	28.052	1998-05-25T19:06:42.000Z	30.39
1998-05-26T07:55:46.000Z	28.052	1998-05-26T08:20:18.000Z	28.052
1998-05-31T00:35:13.000Z	147.27	1998-05-31T00:39:29.000Z	147.27
1998-05-31T00:52:17.000Z	147.27	1998-05-31T01:00:49.000Z	149.61
1998-05-31T03:37:37.000Z	147.27	1998-05-31T03:44:01.000Z	147.27
