x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-11-02T13:03:59.000Z	156.62	1998-11-02T13:16:47.000Z	156.62
1998-11-03T17:06:07.000Z	158.96	1998-11-03T17:10:23.000Z	158.96
1998-11-03T19:13:03.000Z	158.96	1998-11-03T19:39:43.000Z	161.3
1998-11-04T00:49:03.000Z	165.97	1998-11-04T00:51:11.000Z	161.3
1998-11-04T00:57:35.000Z	156.62	1998-11-04T01:01:51.000Z	156.62
1998-11-04T02:38:55.000Z	147.27	1998-11-04T03:31:11.000Z	137.92
1998-11-04T03:57:51.000Z	158.96	1998-11-04T03:59:59.000Z	156.62
1998-11-04T04:33:03.000Z	154.29	1998-11-04T05:01:51.000Z	156.62
1998-11-04T05:10:23.000Z	156.62	1998-11-04T05:13:35.000Z	158.96
1998-11-04T08:34:07.000Z	161.3	1998-11-04T08:38:23.000Z	161.3
1998-11-04T08:49:03.000Z	156.62	1998-11-04T08:55:27.000Z	156.62
1998-11-04T10:01:35.000Z	147.27	1998-11-04T10:23:58.000Z	149.61
1998-11-04T10:32:30.000Z	151.95	1998-11-04T10:41:02.000Z	151.95
1998-11-04T11:03:26.000Z	158.96	1998-11-04T11:07:42.000Z	158.96
1998-11-04T11:17:18.000Z	158.96	1998-11-04T11:21:34.000Z	156.62
1998-11-04T11:47:10.000Z	151.95	1998-11-04T12:20:14.000Z	156.62
1998-11-04T12:31:58.000Z	156.62	1998-11-04T13:26:22.000Z	154.29
1998-11-05T00:19:11.000Z	156.62	1998-11-05T00:35:11.000Z	156.62
1998-11-24T14:59:24.000Z	28.052	1998-11-24T15:06:52.000Z	32.727
1998-11-24T18:53:00.000Z	11.688	1998-11-24T18:55:08.000Z	11.688
1998-11-25T07:35:40.000Z	28.052	1998-11-25T07:49:32.000Z	28.052
1998-11-25T10:45:32.000Z	25.714	1998-11-25T10:49:48.000Z	25.714
1998-11-25T10:54:04.000Z	23.377	1998-11-25T11:05:48.000Z	23.377
1998-11-25T11:25:00.000Z	28.052	1998-11-25T11:32:28.000Z	28.052
1998-11-25T15:16:28.000Z	25.714	1998-11-25T15:26:04.000Z	23.377
1998-11-25T19:43:08.000Z	30.39	1998-11-25T19:46:20.000Z	28.052
1998-11-26T21:44:44.000Z	30.39	1998-11-26T21:46:52.000Z	30.39
1998-11-26T21:53:16.000Z	37.403	1998-11-26T21:57:32.000Z	35.065
1998-11-26T22:13:32.000Z	32.727	1998-11-26T22:43:24.000Z	35.065
1998-11-26T23:10:04.000Z	35.065	1998-11-26T23:12:12.000Z	37.403
1998-11-26T23:21:48.000Z	37.403	1998-11-26T23:34:36.000Z	37.403
1998-11-27T13:29:48.000Z	32.727	1998-11-27T13:41:32.000Z	30.39
1998-11-27T14:38:04.000Z	25.714	1998-11-27T14:45:32.000Z	23.377
1998-11-27T14:54:04.000Z	28.052	1998-11-27T14:56:12.000Z	28.052
