x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
1998-10-03T00:32:03.000Z	35.065	1998-10-03T00:36:19.000Z	35.065
1998-10-03T03:46:11.000Z	21.039	1998-10-03T03:48:19.000Z	21.039
1998-10-03T08:27:47.000Z	28.052	1998-10-03T08:29:55.000Z	28.052
1998-10-03T08:43:47.000Z	25.714	1998-10-03T08:48:03.000Z	25.714
1998-10-03T08:52:19.000Z	28.052	1998-10-03T08:54:27.000Z	23.377
1998-10-03T14:18:43.000Z	35.065	1998-10-03T16:54:27.000Z	28.052
1998-10-03T18:33:39.000Z	25.714	1998-10-03T18:36:51.000Z	25.714
1998-10-03T19:42:59.000Z	32.727	1998-10-03T21:22:11.000Z	28.052
1998-10-03T21:34:59.000Z	32.727	1998-10-03T21:59:31.000Z	28.052
1998-10-03T22:08:03.000Z	35.065	1998-10-03T22:32:35.000Z	25.714
1998-10-03T22:36:51.000Z	25.714	1998-10-03T22:53:55.000Z	28.052
1998-10-04T00:00:03.000Z	21.039	1998-10-04T00:04:19.000Z	21.039
1998-10-04T03:47:15.000Z	25.714	1998-10-04T03:53:39.000Z	28.052
1998-10-04T05:05:07.000Z	28.052	1998-10-04T05:22:11.000Z	30.39
1998-10-04T06:24:03.000Z	23.377	1998-10-04T06:32:35.000Z	25.714
1998-10-04T06:57:07.000Z	23.377	1998-10-04T07:32:19.000Z	35.065
1998-10-04T08:01:07.000Z	28.052	1998-10-04T07:58:59.000Z	28.052
1998-10-04T08:05:23.000Z	30.39	1998-10-04T08:46:59.000Z	32.727
1998-10-04T11:41:54.000Z	25.714	1998-10-04T12:01:06.000Z	28.052
1998-10-05T05:43:30.000Z	23.377	1998-10-05T05:59:30.000Z	23.377
1998-10-05T18:15:30.000Z	28.052	1998-10-05T18:19:46.000Z	28.052
1998-10-05T20:09:38.000Z	28.052	1998-10-05T20:23:30.000Z	28.052
1998-10-05T21:38:10.000Z	35.065	1998-10-05T21:42:26.000Z	35.065
1998-10-05T22:44:18.000Z	23.377	1998-10-05T22:54:58.000Z	23.377
1998-10-05T23:13:06.000Z	23.377	1998-10-05T23:17:22.000Z	25.714
1998-10-05T23:23:46.000Z	23.377	1998-10-05T23:28:02.000Z	23.377
1998-10-05T23:35:30.000Z	23.377	1998-10-05T23:44:02.000Z	25.714
1998-10-06T00:01:06.000Z	28.052	1998-10-06T00:25:38.000Z	30.39
1998-10-06T00:41:38.000Z	37.403	1998-10-06T00:43:46.000Z	37.403
1998-10-06T00:52:18.000Z	30.39	1998-10-06T01:40:18.000Z	32.727
1998-10-06T08:14:58.000Z	28.052	1998-10-06T08:24:34.000Z	28.052
1998-10-06T08:39:30.000Z	35.065	1998-10-06T09:06:10.000Z	37.403
1998-10-06T09:10:26.000Z	37.403	1998-10-06T09:12:34.000Z	37.403
1998-10-06T10:56:02.000Z	25.714	1998-10-06T10:58:10.000Z	25.714
1998-10-06T11:02:26.000Z	30.39	1998-10-06T11:09:54.000Z	30.39
1998-10-06T11:49:22.000Z	25.714	1998-10-06T12:04:18.000Z	25.714
1998-10-06T12:16:02.000Z	30.39	1998-10-06T12:18:10.000Z	28.052
1998-10-06T13:10:26.000Z	32.727	1998-10-06T13:43:30.000Z	35.065
1998-10-08T17:27:30.000Z	156.62	1998-10-08T18:09:06.000Z	151.95
1998-10-08T18:40:02.000Z	140.26	1998-10-08T18:56:02.000Z	142.6
1998-10-08T19:13:06.000Z	156.62	1998-10-08T19:24:50.000Z	151.95
1998-10-08T19:29:06.000Z	151.95	1998-10-08T19:37:38.000Z	151.95
1998-10-08T20:54:26.000Z	163.64	1998-10-08T21:01:54.000Z	163.64
1998-10-09T14:30:26.000Z	165.97	1998-10-09T14:46:26.000Z	163.64
1998-10-09T15:25:54.000Z	163.64	1998-10-09T15:28:02.000Z	161.3
1998-10-09T16:09:38.000Z	156.62	1998-10-09T16:11:46.000Z	156.62
1998-10-09T16:23:30.000Z	158.96	1998-10-09T16:25:38.000Z	158.96
1998-10-09T18:37:54.000Z	154.29	1998-10-09T18:57:06.000Z	156.62
1998-10-09T22:22:58.000Z	154.29	1998-10-09T22:25:06.000Z	151.95
1998-10-09T23:15:14.000Z	156.62	1998-10-09T23:33:22.000Z	161.3
1998-10-09T23:44:02.000Z	149.61	1998-10-09T23:52:34.000Z	149.61
1998-10-09T23:56:50.000Z	158.96	1998-10-10T00:00:02.000Z	158.96
1998-10-10T05:01:54.000Z	133.25	1998-10-10T05:08:18.000Z	130.91
1998-10-10T06:29:22.000Z	149.61	1998-10-10T06:36:50.000Z	149.61
1998-10-10T06:51:46.000Z	142.6	1998-10-10T07:14:10.000Z	147.27
1998-10-10T07:18:26.000Z	149.61	1998-10-10T07:33:22.000Z	149.61
1998-10-10T07:51:30.000Z	158.96	1998-10-10T08:51:14.000Z	156.62
1998-10-10T16:49:06.000Z	158.96	1998-10-10T17:17:54.000Z	158.96
1998-10-10T18:30:26.000Z	156.62	1998-10-10T18:32:34.000Z	156.62
1998-10-10T18:38:58.000Z	149.61	1998-10-10T18:41:06.000Z	154.29
1998-10-10T18:46:26.000Z	151.95	1998-10-10T19:17:22.000Z	151.95
1998-10-10T20:13:54.000Z	158.96	1998-10-10T20:46:58.000Z	154.29
1998-10-11T03:56:50.000Z	158.96	1998-10-11T03:58:58.000Z	158.96
1998-10-11T04:41:38.000Z	154.29	1998-10-11T05:00:50.000Z	156.62
1998-10-11T05:12:34.000Z	158.96	1998-10-11T05:14:42.000Z	156.62
1998-10-11T05:25:22.000Z	165.97	1998-10-11T05:27:30.000Z	165.97
1998-10-11T05:42:26.000Z	163.64	1998-10-11T05:52:02.000Z	163.64
1998-10-11T08:33:05.000Z	151.95	1998-10-11T08:41:37.000Z	151.95
1998-10-11T09:27:29.000Z	140.26	1998-10-11T09:41:21.000Z	140.26
1998-10-11T17:37:05.000Z	158.96	1998-10-11T18:08:01.000Z	154.29
1998-10-12T07:13:06.000Z	149.61	1998-10-12T08:09:38.000Z	149.61
1998-10-20T14:14:24.000Z	144.94	1998-10-20T14:29:20.000Z	144.94
1998-10-20T14:51:44.000Z	149.61	1998-10-20T14:56:00.000Z	149.61
1998-10-25T18:16:32.000Z	144.94	1998-10-25T18:18:40.000Z	147.27
1998-10-25T18:47:28.000Z	142.6	1998-10-25T18:58:08.000Z	142.6
1998-10-29T10:37:51.000Z	18.701	1998-10-29T10:42:07.000Z	18.701
1998-10-29T11:02:23.000Z	23.377	1998-10-29T11:04:31.000Z	23.377
1998-10-29T11:24:47.000Z	21.039	1998-10-29T11:26:55.000Z	23.377
1998-10-29T11:43:59.000Z	30.39	1998-10-29T11:59:59.000Z	30.39
1998-10-29T12:23:27.000Z	25.714	1998-10-29T12:27:43.000Z	30.39
1998-10-30T02:47:27.000Z	25.714	1998-10-30T02:50:39.000Z	25.714
1998-10-30T09:53:03.000Z	28.052	1998-10-30T10:00:31.000Z	28.052
